customer_id,segment,total_spend,purchase_frequency,avg_order_value
C0284,Premium,485.31,10,48.53
C0285,Standard,249.45,9,27.72
C0286,Standard,249.39,11,22.67
C0287,Budget,79.18,3,26.39
C0288,Standard,264.34,2,132.17
C0289,Premium,950.25,9,105.58
C0290,Premium,823.71,13,63.36
C0291,Standard,300.84,7,42.98
C0292,Premium,615.94,10,61.59
C0293,Budget,105.13,3,35.04
C0294,Budget,98.68,1,98.68
C0295,Premium,717.72,12,59.81
C0296,Standard,319.1,6,53.18
C0297,Premium,775.33,16,48.46
C0298,Standard,323.87,8,40.48
C0299,Premium,517.75,13,39.83
C0300,Standard,257.4,10,25.74
C0301,Premium,894.24,12,74.52
C0302,Standard,387.27,5,77.45
C0303,Standard,303.73,8,37.97
C0304,Standard,281.51,7,40.22
C0305,Standard,279.89,8,34.99
C0306,Budget,102.03,2,51.02
C0307,Standard,393.9,5,78.78
C0308,Standard,296.61,6,49.44
C0309,Premium,618.43,10,61.84
C0310,Budget,79.86,1,79.86
C0311,Budget,91.76,4,22.94
C0312,Standard,355.62,3,118.54
C0313,Budget,85.5,3,28.5
C0314,Standard,208.81,7,29.83
C0315,Standard,311.82,6,51.97
C0316,Budget,85.35,4,21.34
C0317,Budget,76.56,1,76.56
C0318,Premium,1019.17,11,92.65
C0319,Budget,113.89,1,113.89
C0320,Premium,1191.12,11,108.28
C0321,Standard,402.85,7,57.55
C0322,Standard,347.39,5,69.48
C0323,Standard,281.01,5,56.2
C0324,Standard,321.05,7,45.86
C0325,Premium,652.09,13,50.16
C0326,Premium,881.65,11,80.15
C0327,Budget,112.84,1,112.84
C0328,Standard,271.09,7,38.73
C0329,Standard,273.54,11,24.87
C0330,Standard,230.01,8,28.75
C0331,Standard,294.91,8,36.86
C0332,Budget,98.36,1,98.36
C0333,Budget,141.35,1,141.35
C0334,Budget,92.2,3,30.73
C0335,Budget,144.44,4,36.11
C0336,Standard,263.95,6,43.99
C0337,Premium,738.18,10,73.82
C0338,Budget,89.93,6,14.99
C0339,Premium,835.83,13,64.29
C0340,Budget,70.64,1,70.64
C0341,Premium,985.31,11,89.57
C0342,Standard,362.29,4,90.57
C0343,Budget,92.06,1,92.06
C0344,Standard,298.67,3,99.56
C0345,Standard,385.84,7,55.12
C0346,Budget,102.36,4,25.59
C0347,Budget,117.32,1,117.32
C0348,Budget,102.44,4,25.61
C0349,Budget,107.86,1,107.86
C0350,Premium,710.0,12,59.17
C0351,Standard,306.49,5,61.3
C0352,Budget,118.89,4,29.72
C0353,Standard,331.5,6,55.25
C0354,Standard,228.46,3,76.15
C0355,Premium,1015.21,12,84.6
C0356,Standard,277.64,7,39.66
C0357,Standard,217.72,6,36.29
C0358,Standard,314.07,6,52.34
C0359,Budget,108.28,1,108.28
C0360,Standard,413.16,5,82.63
C0361,Standard,357.2,6,59.53
C0362,Premium,804.68,8,100.58
C0363,Standard,282.14,6,47.02
C0364,Premium,832.8,15,55.52
C0365,Standard,312.01,5,62.4
C0366,Premium,834.11,11,75.83
C0367,Budget,105.16,2,52.58
C0368,Premium,815.56,9,90.62
C0369,Budget,114.95,6,19.16
C0370,Premium,695.55,13,53.5
C0371,Budget,89.5,1,89.5
C0372,Budget,105.19,2,52.6
C0373,Standard,364.86,8,45.61
C0374,Budget,93.29,1,93.29
C0375,Standard,288.74,8,36.09
C0376,Standard,283.59,8,35.45
C0377,Budget,115.14,3,38.38
C0378,Budget,117.22,1,117.22
C0379,Premium,909.92,15,60.66
C0380,Standard,189.9,6,31.65
C0381,Standard,271.08,1,271.08
C0382,Standard,334.25,3,111.42
C0383,Premium,829.25,11,75.39
C0384,Budget,86.91,5,17.38
C0385,Standard,386.06,2,193.03
C0386,Standard,224.18,3,74.73
C0387,Standard,360.97,3,120.32
C0388,Standard,271.52,8,33.94
C0389,Budget,128.37,1,128.37
C0390,Budget,104.39,2,52.2
C0391,Premium,946.88,11,86.08
C0392,Budget,81.59,6,13.6
C0393,Budget,85.08,3,28.36
C0394,Premium,818.15,8,102.27
C0395,Budget,130.48,3,43.49
C0396,Standard,286.53,6,47.76
C0397,Budget,106.66,3,35.55
C0398,Standard,301.21,5,60.24
C0399,Premium,717.96,13,55.23
