date,region,product_category,units_sold,revenue
2023-06-01,North,Home,104,4934.79
2023-06-01,South,Electronics,172,9300.4
2023-06-01,South,Apparel,120,5726.08
2023-06-01,South,Home,81,4291.4
2023-06-01,East,Electronics,166,7615.02
2023-06-01,East,Apparel,84,4925.12
2023-06-01,East,Home,60,3627.92
2023-06-01,West,Electronics,131,6814.33
2023-06-01,West,Apparel,81,4634.54
2023-06-01,West,Home,61,2821.67
2023-07-01,North,Electronics,265,12488.43
2023-07-01,North,Apparel,128,7091.29
2023-07-01,North,Home,82,4847.49
2023-07-01,South,Electronics,160,8993.35
2023-07-01,South,Apparel,139,5960.15
2023-07-01,South,Home,63,3743.04
2023-07-01,East,Electronics,180,7581.95
2023-07-01,East,Apparel,91,5198.13
2023-07-01,East,Home,82,3668.88
2023-07-01,West,Electronics,142,7112.57
2023-07-01,West,Apparel,77,4394.87
2023-07-01,West,Home,64,2863.26
2023-08-01,North,Electronics,260,11591.1
2023-08-01,North,Apparel,112,6711.66
2023-08-01,North,Home,106,4781.46
2023-08-01,South,Electronics,185,8765.18
2023-08-01,South,Apparel,134,5779.91
2023-08-01,South,Home,75,4294.42
2023-08-01,East,Electronics,138,7728.59
2023-08-01,East,Apparel,83,4730.57
2023-08-01,East,Home,82,3432.02
2023-08-01,West,Electronics,158,7149.63
2023-08-01,West,Apparel,88,4673.62
2023-08-01,West,Home,60,3127.33
2023-09-01,North,Electronics,195,11637.83
2023-09-01,North,Apparel,120,6407.61
2023-09-01,North,Home,82,4916.66
2023-09-01,South,Electronics,176,8746.2
2023-09-01,South,Apparel,119,5630.9
2023-09-01,South,Home,75,4076.34
2023-09-01,East,Electronics,160,7971.6
2023-09-01,East,Apparel,108,4880.43
2023-09-01,East,Home,59,3539.48
2023-09-01,West,Electronics,137,6884.34
2023-09-01,West,Apparel,98,4632.71
2023-09-01,West,Home,64,3041.11
2023-10-01,North,Electronics,249,12517.89
2023-10-01,North,Apparel,167,7229.46
2023-10-01,North,Home,89,4661.76
2023-10-01,South,Electronics,184,8553.72
2023-10-01,South,Apparel,138,6305.61
2023-10-01,South,Home,92,3834.95
2023-10-01,East,Electronics,135,7691.66
2023-10-01,East,Apparel,100,4760.03
2023-10-01,East,Home,57,3303.38
2023-10-01,West,Electronics,116,6814.68
2023-10-01,West,Apparel,104,4266.12
2023-10-01,West,Home,70,2925.69
2023-11-01,North,Electronics,248,12489.47
2023-11-01,North,Apparel,131,7030.32
2023-11-01,North,Home,86,5092.75
2023-11-01,South,Electronics,175,9394.43
2023-11-01,South,Apparel,127,5537.97
2023-11-01,South,Home,79,3982.66
2023-11-01,East,Electronics,173,8332.87
2023-11-01,East,Apparel,110,5025.9
2023-11-01,East,Home,63,3517.74
2023-11-01,West,Electronics,144,6659.12
2023-11-01,West,Apparel,99,4483.56
2023-11-01,West,Home,49,2947.71
2023-12-01,North,Electronics,256,11957.68
2023-12-01,North,Apparel,173,7017.44
2023-12-01,North,Home,130,5259.22
2023-12-01,South,Electronics,222,8912.33
2023-12-01,South,Apparel,102,5563.71
2023-12-01,South,Home,72,4229.8
2023-12-01,East,Electronics,134,8026.97
2023-12-01,East,Apparel,98,4963.95
2023-12-01,East,Home,81,3457.63
2023-12-01,West,Electronics,170,7262.94
2023-12-01,West,Apparel,108,4483.06
2023-12-01,West,Home,61,2923.8
2024-01-01,North,Electronics,290,12072.54
2024-01-01,North,Apparel,131,7276.69
2024-01-01,North,Home,101,4815.06
2024-01-01,South,Electronics,214,9133.52
2024-01-01,South,Apparel,132,6200.17
2024-01-01,South,Home,79,4170.83
2024-01-01,East,Electronics,171,7824.26
2024-01-01,East,Apparel,110,5069.47
2024-01-01,East,Home,62,3510.14
2024-01-01,West,Electronics,171,7672.99
2024-01-01,West,Apparel,75,4139.04
2024-01-01,West,Home,71,2883.87
2024-02-01,North,Electronics,235,11227.0
2024-02-01,North,Apparel,151,7367.04
2024-02-01,North,Home,93,4780.4
2024-02-01,South,Electronics,188,9318.66
2024-02-01,South,Apparel,117,5771.25
2024-02-01,South,Home,90,4178.82
2024-02-01,East,Electronics,155,7671.45
2024-02-01,East,Apparel,85,4663.99
2024-02-01,East,Home,88,3635.29
2024-02-01,West,Electronics,172,7213.85
2024-02-01,West,Apparel,100,4639.57
2024-02-01,West,Home,63,3194.48
2024-03-01,North,Electronics,236,11830.73
2024-03-01,North,Apparel,121,7293.32
2024-03-01,North,Home,101,4971.57
2024-03-01,South,Electronics,181,9280.9
2024-03-01,South,Apparel,133,5874.94
2024-03-01,South,Home,67,3813.65
2024-03-01,East,Electronics,156,7698.43
2024-03-01,East,Apparel,102,5033.46
2024-03-01,East,Home,84,3449.85
2024-03-01,West,Electronics,176,7330.83
2024-03-01,West,Apparel,113,4740.66
2024-03-01,West,Home,52,2916.29
2024-04-01,North,Electronics,185,7585.98
2024-04-01,North,Apparel,81,4363.86
2024-04-01,North,Home,48,2873.97
2024-04-01,South,Electronics,211,9061.42
2024-04-01,South,Apparel,113,6122.11
2024-04-01,South,Home,100,4148.63
2024-04-01,East,Electronics,187,7963.84
2024-04-01,East,Apparel,105,5152.36
2024-04-01,East,Home,78,3553.39
2024-04-01,West,Electronics,174,7386.25
2024-04-01,West,Apparel,110,4514.33
2024-04-01,West,Home,61,3080.95
2024-05-01,North,Electronics,143,6381.25
2024-05-01,North,Apparel,68,3906.78
2024-05-01,North,Home,47,2600.28
2024-05-01,South,Electronics,210,8687.75
2024-05-01,South,Apparel,110,6363.8
2024-05-01,South,Home,84,4036.6
2024-05-01,East,Electronics,161,8443.51
2024-05-01,East,Apparel,115,5016.86
2024-05-01,East,Home,59,3506.29
2024-05-01,West,Electronics,178,7215.09
2024-05-01,West,Apparel,98,4347.01
2024-05-01,West,Home,58,3119.05
2024-06-01,North,Electronics,141,5733.47
2024-06-01,North,Apparel,86,3603.52
2024-06-01,North,Home,46,2563.68
2024-06-01,South,Electronics,156,8562.28
2024-06-01,South,Apparel,133,5958.13
2024-06-01,South,Home,70,3959.88
2024-06-01,East,Electronics,178,8302.0
2024-06-01,East,Apparel,87,4999.74
2024-06-01,East,Home,58,3347.51
2024-06-01,West,Electronics,122,6860.84
2024-06-01,West,Apparel,91,4306.06
2024-06-01,West,Home,71,2947.41
