date,sku,warehouse,stock_level,reorder_point,stockout_days
2024-01-01,SKU019,W1,86,141,3
2024-01-01,SKU019,W2,108,119,1
2024-01-01,SKU019,W3,83,90,0
2024-01-01,SKU020,W1,231,146,0
2024-01-01,SKU020,W2,271,136,0
2024-01-01,SKU020,W3,137,104,0
2024-01-01,SKU021,W1,126,88,0
2024-01-01,SKU021,W2,177,106,0
2024-01-01,SKU021,W3,193,103,0
2024-01-01,SKU022,W1,180,111,0
2024-01-01,SKU022,W2,156,87,0
2024-01-01,SKU022,W3,106,69,0
2024-01-01,SKU023,W1,105,99,0
2024-01-01,SKU023,W2,72,87,1
2024-01-01,SKU023,W3,93,134,0
2024-01-01,SKU024,W1,152,120,0
2024-01-01,SKU024,W2,129,95,0
2024-01-01,SKU024,W3,150,145,0
2024-01-01,SKU025,W1,123,88,0
2024-01-01,SKU025,W2,50,52,0
2024-01-01,SKU025,W3,135,107,0
2024-01-01,SKU026,W1,109,87,0
2024-01-01,SKU026,W2,241,146,0
2024-01-01,SKU026,W3,97,91,0
2024-01-01,SKU027,W1,184,123,0
2024-01-01,SKU027,W2,196,102,0
2024-01-01,SKU027,W3,150,97,0
2024-01-01,SKU028,W1,149,110,0
2024-01-01,SKU028,W2,192,129,0
2024-01-01,SKU028,W3,63,71,1
2024-01-01,SKU029,W1,114,123,1
2024-01-01,SKU029,W2,72,58,0
2024-01-01,SKU029,W3,154,83,0
2024-01-01,SKU030,W1,70,66,0
2024-01-01,SKU030,W2,126,104,0
2024-01-01,SKU030,W3,89,57,0
2024-02-01,SKU001,W1,73,106,1
2024-02-01,SKU001,W2,156,117,0
2024-02-01,SKU001,W3,150,102,0
2024-02-01,SKU002,W1,243,145,0
2024-02-01,SKU002,W2,126,93,0
2024-02-01,SKU002,W3,72,89,4
2024-02-01,SKU003,W1,153,105,0
2024-02-01,SKU003,W2,94,70,0
2024-02-01,SKU003,W3,125,120,0
2024-02-01,SKU004,W1,127,98,0
2024-02-01,SKU004,W2,151,135,0
2024-02-01,SKU004,W3,79,62,0
2024-02-01,SKU005,W1,194,112,0
2024-02-01,SKU005,W2,56,143,2
2024-02-01,SKU005,W3,108,60,0
2024-02-01,SKU006,W1,49,66,2
2024-02-01,SKU006,W2,109,75,0
2024-02-01,SKU006,W3,192,147,0
2024-02-01,SKU007,W1,204,129,0
2024-02-01,SKU007,W2,56,56,0
2024-02-01,SKU007,W3,175,101,0
2024-02-01,SKU008,W1,124,92,0
2024-02-01,SKU008,W2,122,84,0
2024-02-01,SKU008,W3,210,119,0
2024-02-01,SKU009,W1,49,75,1
2024-02-01,SKU009,W2,135,112,0
2024-02-01,SKU009,W3,76,75,0
2024-02-01,SKU010,W1,110,112,2
2024-02-01,SKU010,W2,220,148,0
2024-02-01,SKU010,W3,108,57,0
2024-02-01,SKU011,W1,217,129,0
2024-02-01,SKU011,W2,121,75,0
2024-02-01,SKU011,W3,104,53,0
2024-02-01,SKU012,W1,192,131,0
2024-02-01,SKU012,W2,135,71,0
2024-02-01,SKU012,W3,82,70,0
2024-02-01,SKU013,W1,138,125,0
2024-02-01,SKU013,W2,127,57,0
2024-02-01,SKU013,W3,96,80,0
2024-02-01,SKU014,W1,124,63,0
2024-02-01,SKU014,W2,133,63,0
2024-02-01,SKU014,W3,125,116,0
2024-02-01,SKU015,W1,131,95,0
2024-02-01,SKU015,W2,210,141,0
2024-02-01,SKU015,W3,223,135,0
2024-02-01,SKU016,W1,114,132,2
2024-02-01,SKU016,W2,155,141,0
2024-02-01,SKU016,W3,69,116,0
2024-02-01,SKU017,W1,96,104,1
2024-02-01,SKU017,W2,154,141,0
2024-02-01,SKU017,W3,147,92,0
2024-02-01,SKU018,W1,55,94,0
2024-02-01,SKU018,W2,99,98,0
2024-02-01,SKU018,W3,60,52,0
2024-02-01,SKU019,W1,193,141,0
2024-02-01,SKU019,W2,98,80,0
2024-02-01,SKU019,W3,120,74,0
2024-02-01,SKU020,W1,125,96,0
2024-02-01,SKU020,W2,30,74,3
2024-02-01,SKU020,W3,94,89,0
2024-02-01,SKU021,W1,220,141,0
2024-02-01,SKU021,W2,0,120,0
2024-02-01,SKU021,W3,97,130,1
2024-02-01,SKU022,W1,74,76,1
2024-02-01,SKU022,W2,178,143,0
2024-02-01,SKU022,W3,91,75,0
2024-02-01,SKU023,W1,205,148,0
2024-02-01,SKU023,W2,166,102,0
2024-02-01,SKU023,W3,155,84,0
2024-02-01,SKU024,W1,271,124,0
2024-02-01,SKU024,W2,92,52,0
2024-02-01,SKU024,W3,133,99,0
2024-02-01,SKU025,W1,73,57,0
2024-02-01,SKU025,W2,103,118,0
2024-02-01,SKU025,W3,125,84,0
2024-02-01,SKU026,W1,92,101,1
2024-02-01,SKU026,W2,219,128,0
2024-02-01,SKU026,W3,79,114,1
2024-02-01,SKU027,W1,253,114,0
2024-02-01,SKU027,W2,92,120,2
2024-02-01,SKU027,W3,215,149,0
2024-02-01,SKU028,W1,129,106,0
2024-02-01,SKU028,W2,78,56,0
2024-02-01,SKU028,W3,175,74,0
2024-02-01,SKU029,W1,92,63,0
2024-02-01,SKU029,W2,105,72,0
2024-02-01,SKU029,W3,110,106,0
2024-02-01,SKU030,W1,98,105,0
2024-02-01,SKU030,W2,105,135,1
2024-02-01,SKU030,W3,49,51,0
2024-03-01,SKU001,W1,136,147,1
2024-03-01,SKU001,W2,75,116,1
2024-03-01,SKU001,W3,69,56,0
2024-03-01,SKU002,W1,71,65,0
2024-03-01,SKU002,W2,154,97,0
2024-03-01,SKU002,W3,52,61,0
2024-03-01,SKU003,W1,128,147,1
2024-03-01,SKU003,W2,134,93,0
2024-03-01,SKU003,W3,62,128,1
2024-03-01,SKU004,W1,61,63,1
2024-03-01,SKU004,W2,104,67,0
2024-03-01,SKU004,W3,65,60,0
2024-03-01,SKU005,W1,89,103,0
2024-03-01,SKU005,W2,156,104,0
2024-03-01,SKU005,W3,77,124,1
2024-03-01,SKU006,W1,145,68,0
2024-03-01,SKU006,W2,99,67,0
2024-03-01,SKU006,W3,169,94,0
2024-03-01,SKU007,W1,153,146,0
2024-03-01,SKU007,W2,69,81,0
2024-03-01,SKU007,W3,98,51,0
2024-03-01,SKU008,W1,76,74,0
2024-03-01,SKU008,W2,165,98,0
2024-03-01,SKU008,W3,251,134,0
2024-03-01,SKU009,W1,130,99,0
2024-03-01,SKU009,W2,127,142,0
2024-03-01,SKU009,W3,148,122,0
2024-03-01,SKU010,W1,92,72,0
2024-03-01,SKU010,W2,143,127,0
2024-03-01,SKU010,W3,47,56,0
2024-03-01,SKU011,W1,211,117,0
2024-03-01,SKU011,W2,72,83,2
2024-03-01,SKU011,W3,98,71,0
2024-03-01,SKU012,W1,209,142,0
2024-03-01,SKU012,W2,95,70,0
2024-03-01,SKU012,W3,109,145,0
2024-03-01,SKU013,W1,21,104,2
2024-03-01,SKU013,W2,82,68,0
2024-03-01,SKU013,W3,96,96,0
2024-03-01,SKU014,W1,160,122,0
2024-03-01,SKU014,W2,174,146,0
2024-03-01,SKU014,W3,87,66,0
2024-03-01,SKU015,W1,160,124,0
2024-03-01,SKU015,W2,140,124,0
2024-03-01,SKU015,W3,94,78,0
2024-03-01,SKU016,W1,200,147,0
2024-03-01,SKU016,W2,53,69,1
2024-03-01,SKU016,W3,116,106,0
2024-03-01,SKU017,W1,126,133,1
2024-03-01,SKU017,W2,153,130,0
2024-03-01,SKU017,W3,118,95,0
2024-03-01,SKU018,W1,127,88,0
2024-03-01,SKU018,W2,222,124,0
2024-03-01,SKU018,W3,117,78,0
2024-03-01,SKU019,W1,205,139,0
2024-03-01,SKU019,W2,83,66,0
2024-03-01,SKU019,W3,188,124,0
2024-03-01,SKU020,W1,90,51,0
2024-03-01,SKU020,W2,121,103,0
2024-03-01,SKU020,W3,160,107,0
2024-03-01,SKU021,W1,205,144,0
2024-03-01,SKU021,W2,66,54,0
2024-03-01,SKU021,W3,121,95,0
2024-03-01,SKU022,W1,46,50,1
2024-03-01,SKU022,W2,172,118,0
2024-03-01,SKU022,W3,67,55,0
2024-03-01,SKU023,W1,137,78,0
2024-03-01,SKU023,W2,83,99,1
2024-03-01,SKU023,W3,73,62,0
2024-03-01,SKU024,W1,84,67,0
2024-03-01,SKU024,W2,149,84,0
2024-03-01,SKU024,W3,137,85,0
2024-03-01,SKU025,W1,146,111,0
2024-03-01,SKU025,W2,105,80,0
2024-03-01,SKU025,W3,134,92,0
2024-03-01,SKU026,W1,78,64,0
2024-03-01,SKU026,W2,102,71,0
2024-03-01,SKU026,W3,90,93,0
2024-03-01,SKU027,W1,193,135,0
2024-03-01,SKU027,W2,147,122,0
2024-03-01,SKU027,W3,151,134,0
2024-03-01,SKU028,W1,187,122,0
2024-03-01,SKU028,W2,52,74,0
2024-03-01,SKU028,W3,82,102,2
2024-03-01,SKU029,W1,77,60,0
2024-03-01,SKU029,W2,146,142,0
2024-03-01,SKU029,W3,94,65,0
2024-03-01,SKU030,W1,69,54,0
2024-03-01,SKU030,W2,93,73,0
2024-03-01,SKU030,W3,92,56,0
2024-04-01,SKU001,W1,121,105,0
2024-04-01,SKU001,W2,195,102,0
2024-04-01,SKU001,W3,137,131,0
2024-04-01,SKU002,W1,87,55,0
2024-04-01,SKU002,W2,202,146,0
2024-04-01,SKU002,W3,138,116,0
2024-04-01,SKU003,W1,252,146,0
2024-04-01,SKU003,W2,74,126,1
2024-04-01,SKU003,W3,77,73,0
2024-04-01,SKU004,W1,66,58,0
2024-04-01,SKU004,W2,85,68,0
2024-04-01,SKU004,W3,159,134,0
2024-04-01,SKU005,W1,72,62,0
2024-04-01,SKU005,W2,112,96,0
2024-04-01,SKU005,W3,85,66,0
2024-04-01,SKU006,W1,107,62,0
2024-04-01,SKU006,W2,77,89,0
2024-04-01,SKU006,W3,96,65,0
2024-04-01,SKU007,W1,158,127,0
2024-04-01,SKU007,W2,52,69,0
2024-04-01,SKU007,W3,115,77,0
2024-04-01,SKU008,W1,276,131,0
2024-04-01,SKU008,W2,120,86,0
2024-04-01,SKU008,W3,121,93,0
2024-04-01,SKU009,W1,224,146,0
2024-04-01,SKU009,W2,132,145,1
2024-04-01,SKU009,W3,160,130,0
2024-04-01,SKU010,W1,43,129,1
2024-04-01,SKU010,W2,53,50,0
2024-04-01,SKU010,W3,76,52,0
2024-04-01,SKU011,W1,179,128,0
2024-04-01,SKU011,W2,161,134,0
2024-04-01,SKU011,W3,181,102,0
2024-04-01,SKU012,W1,118,120,1
2024-04-01,SKU012,W2,325,146,0
2024-04-01,SKU012,W3,55,83,3
2024-04-01,SKU013,W1,111,53,0
2024-04-01,SKU013,W2,89,76,0
2024-04-01,SKU013,W3,217,144,0
2024-04-01,SKU014,W1,58,65,0
2024-04-01,SKU014,W2,143,83,0
2024-04-01,SKU014,W3,147,109,0
2024-04-01,SKU015,W1,117,116,0
2024-04-01,SKU015,W2,116,135,3
2024-04-01,SKU015,W3,178,136,0
2024-04-01,SKU016,W1,251,125,0
2024-04-01,SKU016,W2,68,57,0
2024-04-01,SKU016,W3,83,96,4
2024-04-01,SKU017,W1,143,129,0
2024-04-01,SKU017,W2,186,122,0
2024-04-01,SKU017,W3,119,137,1
2024-04-01,SKU018,W1,131,101,0
2024-04-01,SKU018,W2,271,135,0
2024-04-01,SKU018,W3,67,60,0
2024-04-01,SKU019,W1,126,105,0
2024-04-01,SKU019,W2,212,148,0
2024-04-01,SKU019,W3,71,103,3
2024-04-01,SKU020,W1,154,94,0
2024-04-01,SKU020,W2,87,85,0
2024-04-01,SKU020,W3,74,51,0
2024-04-01,SKU021,W1,135,105,0
2024-04-01,SKU021,W2,174,132,0
2024-04-01,SKU021,W3,120,79,0
2024-04-01,SKU022,W1,113,114,3
2024-04-01,SKU022,W2,117,77,0
2024-04-01,SKU022,W3,36,92,1
2024-04-01,SKU023,W1,141,143,1
2024-04-01,SKU023,W2,64,51,0
2024-04-01,SKU023,W3,113,76,0
2024-04-01,SKU024,W1,100,68,0
2024-04-01,SKU024,W2,227,148,0
2024-04-01,SKU024,W3,95,76,0
2024-04-01,SKU025,W1,41,102,2
2024-04-01,SKU025,W2,254,147,0
2024-04-01,SKU025,W3,158,141,0
2024-04-01,SKU026,W1,181,102,0
2024-04-01,SKU026,W2,92,127,2
2024-04-01,SKU026,W3,124,64,0
2024-04-01,SKU027,W1,262,137,0
2024-04-01,SKU027,W2,106,113,3
2024-04-01,SKU027,W3,91,74,0
2024-04-01,SKU028,W1,197,131,0
2024-04-01,SKU028,W2,82,119,0
2024-04-01,SKU028,W3,136,110,0
2024-04-01,SKU029,W1,106,76,0
2024-04-01,SKU029,W2,96,108,0
2024-04-01,SKU029,W3,79,85,2
2024-04-01,SKU030,W1,129,74,0
2024-04-01,SKU030,W2,137,111,0
2024-04-01,SKU030,W3,72,84,1
2024-05-01,SKU001,W1,219,126,0
2024-05-01,SKU001,W2,292,136,0
2024-05-01,SKU001,W3,155,100,0
2024-05-01,SKU002,W1,134,93,0
2024-05-01,SKU002,W2,195,144,0
2024-05-01,SKU002,W3,127,107,0
2024-05-01,SKU003,W1,111,71,0
2024-05-01,SKU003,W2,214,120,0
2024-05-01,SKU003,W3,35,56,0
2024-05-01,SKU004,W1,97,148,0
2024-05-01,SKU004,W2,153,84,0
2024-05-01,SKU004,W3,89,85,0
2024-05-01,SKU005,W1,151,110,0
2024-05-01,SKU005,W2,220,115,0
2024-05-01,SKU005,W3,86,122,0
2024-05-01,SKU006,W1,123,97,0
2024-05-01,SKU006,W2,188,81,0
2024-05-01,SKU006,W3,236,140,0
2024-05-01,SKU007,W1,83,74,0
2024-05-01,SKU007,W2,90,69,0
2024-05-01,SKU007,W3,109,93,0
2024-05-01,SKU008,W1,55,56,0
2024-05-01,SKU008,W2,153,67,0
2024-05-01,SKU008,W3,166,133,0
2024-05-01,SKU009,W1,166,131,0
2024-05-01,SKU009,W2,81,70,0
2024-05-01,SKU009,W3,141,86,0
2024-05-01,SKU010,W1,108,96,0
2024-05-01,SKU010,W2,117,87,0
2024-05-01,SKU010,W3,186,139,0
2024-05-01,SKU011,W1,90,98,1
2024-05-01,SKU011,W2,122,74,0
2024-05-01,SKU011,W3,131,93,0
2024-05-01,SKU012,W1,102,101,0
2024-05-01,SKU012,W2,164,148,0
2024-05-01,SKU012,W3,97,114,2
2024-05-01,SKU013,W1,39,91,2
2024-05-01,SKU013,W2,79,62,0
2024-05-01,SKU013,W3,119,125,1
2024-05-01,SKU014,W1,90,61,0
2024-05-01,SKU014,W2,230,137,0
2024-05-01,SKU014,W3,93,50,0
2024-05-01,SKU015,W1,114,90,0
2024-05-01,SKU015,W2,105,98,0
2024-05-01,SKU015,W3,86,118,0
2024-05-01,SKU016,W1,192,109,0
2024-05-01,SKU016,W2,117,123,1
2024-05-01,SKU016,W3,138,143,1
2024-05-01,SKU017,W1,219,149,0
2024-05-01,SKU017,W2,180,98,0
2024-05-01,SKU017,W3,63,74,0
2024-05-01,SKU018,W1,125,97,0
2024-05-01,SKU018,W2,109,110,3
2024-05-01,SKU018,W3,133,104,0
2024-05-01,SKU019,W1,114,98,0
2024-05-01,SKU019,W2,79,60,0
2024-05-01,SKU019,W3,87,75,0
2024-05-01,SKU020,W1,102,82,0
2024-05-01,SKU020,W2,89,101,0
2024-05-01,SKU020,W3,183,122,0
2024-05-01,SKU021,W1,215,115,0
2024-05-01,SKU021,W2,147,124,0
2024-05-01,SKU021,W3,223,140,0
2024-05-01,SKU022,W1,267,125,0
2024-05-01,SKU022,W2,100,122,2
2024-05-01,SKU022,W3,129,146,2
2024-05-01,SKU023,W1,76,55,0
2024-05-01,SKU023,W2,143,118,0
2024-05-01,SKU023,W3,151,86,0
2024-05-01,SKU024,W1,156,131,0
2024-05-01,SKU024,W2,92,86,0
2024-05-01,SKU024,W3,118,64,0
2024-05-01,SKU025,W1,89,65,0
2024-05-01,SKU025,W2,196,133,0
2024-05-01,SKU025,W3,51,56,1
2024-05-01,SKU026,W1,194,136,0
2024-05-01,SKU026,W2,289,148,0
2024-05-01,SKU026,W3,118,90,0
2024-05-01,SKU027,W1,254,142,0
2024-05-01,SKU027,W2,209,147,0
2024-05-01,SKU027,W3,142,110,0
2024-05-01,SKU028,W1,87,55,0
2024-05-01,SKU028,W2,97,85,0
2024-05-01,SKU028,W3,295,136,0
2024-05-01,SKU029,W1,131,94,0
2024-05-01,SKU029,W2,36,54,0
2024-05-01,SKU029,W3,94,72,0
2024-05-01,SKU030,W1,65,54,0
2024-05-01,SKU030,W2,90,83,0
2024-05-01,SKU030,W3,234,125,0
2024-06-01,SKU001,W1,168,144,0
2024-06-01,SKU001,W2,147,147,0
2024-06-01,SKU001,W3,142,83,0
2024-06-01,SKU002,W1,122,94,0
2024-06-01,SKU002,W2,197,148,0
2024-06-01,SKU002,W3,157,109,0
2024-06-01,SKU003,W1,23,51,1
2024-06-01,SKU003,W2,85,83,0
2024-06-01,SKU003,W3,68,73,0
2024-06-01,SKU004,W1,165,126,0
2024-06-01,SKU004,W2,223,140,0
2024-06-01,SKU004,W3,98,52,0
2024-06-01,SKU005,W1,81,108,1
2024-06-01,SKU005,W2,105,73,0
2024-06-01,SKU005,W3,62,71,2
2024-06-01,SKU006,W1,78,50,0
2024-06-01,SKU006,W2,168,97,0
2024-06-01,SKU006,W3,97,130,0
2024-06-01,SKU007,W1,126,89,0
2024-06-01,SKU007,W2,238,149,0
2024-06-01,SKU007,W3,106,85,0
2024-06-01,SKU008,W1,131,72,0
2024-06-01,SKU008,W2,250,145,0
2024-06-01,SKU008,W3,195,139,0
2024-06-01,SKU009,W1,103,83,0
2024-06-01,SKU009,W2,97,118,2
2024-06-01,SKU009,W3,168,132,0
2024-06-01,SKU010,W1,193,100,0
2024-06-01,SKU010,W2,103,65,0
2024-06-01,SKU010,W3,143,140,0
2024-06-01,SKU011,W1,189,138,0
2024-06-01,SKU011,W2,209,117,0
2024-06-01,SKU011,W3,40,81,1
2024-06-01,SKU012,W1,210,139,0
2024-06-01,SKU012,W2,186,111,0
2024-06-01,SKU012,W3,174,126,0
2024-06-01,SKU013,W1,202,138,0
2024-06-01,SKU013,W2,274,140,0
2024-06-01,SKU013,W3,91,53,0
2024-06-01,SKU014,W1,285,149,0
2024-06-01,SKU014,W2,258,143,0
2024-06-01,SKU014,W3,96,98,0
2024-06-01,SKU015,W1,167,116,0
2024-06-01,SKU015,W2,77,112,0
2024-06-01,SKU015,W3,69,51,0
2024-06-01,SKU016,W1,99,54,0
2024-06-01,SKU016,W2,129,85,0
2024-06-01,SKU016,W3,117,95,0
2024-06-01,SKU017,W1,130,80,0
2024-06-01,SKU017,W2,151,94,0
2024-06-01,SKU017,W3,122,144,1
2024-06-01,SKU018,W1,134,99,0
2024-06-01,SKU018,W2,202,146,0
2024-06-01,SKU018,W3,98,64,0
2024-06-01,SKU019,W1,69,88,2
2024-06-01,SKU019,W2,67,56,0
2024-06-01,SKU019,W3,87,111,2
2024-06-01,SKU020,W1,207,137,0
2024-06-01,SKU020,W2,123,123,0
2024-06-01,SKU020,W3,197,102,0
2024-06-01,SKU021,W1,162,126,0
2024-06-01,SKU021,W2,30,67,0
2024-06-01,SKU021,W3,218,119,0
2024-06-01,SKU022,W1,117,109,0
2024-06-01,SKU022,W2,62,94,1
2024-06-01,SKU022,W3,150,140,0
2024-06-01,SKU023,W1,154,97,0
2024-06-01,SKU023,W2,131,113,0
2024-06-01,SKU023,W3,99,88,0
2024-06-01,SKU024,W1,151,118,0
2024-06-01,SKU024,W2,159,145,0
2024-06-01,SKU024,W3,148,119,0
2024-06-01,SKU025,W1,260,120,0
2024-06-01,SKU025,W2,115,106,0
2024-06-01,SKU025,W3,153,101,0
2024-06-01,SKU026,W1,88,98,0
2024-06-01,SKU026,W2,223,135,0
2024-06-01,SKU026,W3,109,58,0
2024-06-01,SKU027,W1,186,121,0
2024-06-01,SKU027,W2,141,112,0
2024-06-01,SKU027,W3,151,73,0
2024-06-01,SKU028,W1,201,145,0
2024-06-01,SKU028,W2,120,77,0
2024-06-01,SKU028,W3,88,54,0
2024-06-01,SKU029,W1,67,67,0
2024-06-01,SKU029,W2,59,75,2
2024-06-01,SKU029,W3,87,59,0
2024-06-01,SKU030,W1,186,118,0
2024-06-01,SKU030,W2,76,118,1
2024-06-01,SKU030,W3,368,137,0
