customer_id,tenure_months,monthly_spend,support_tickets,churned
C0083,24,65.14,1,False
C0084,11,178.6,1,False
C0085,18,51.87,0,False
C0086,28,146.23,2,False
C0087,53,220.83,0,False
C0088,39,33.82,1,False
C0089,27,57.7,2,False
C0090,12,169.13,1,True
C0091,21,162.16,1,False
C0092,43,238.98,3,False
C0093,23,72.44,1,False
C0094,52,148.95,2,False
C0095,36,246.89,4,False
C0096,30,225.19,1,False
C0097,28,191.5,3,False
C0098,19,56.69,1,False
C0099,8,284.57,0,False
C0100,13,296.63,2,False
C0101,30,232.98,4,True
C0102,38,81.57,0,False
C0103,44,189.81,2,False
C0104,27,121.79,2,False
C0105,45,102.04,3,False
C0106,11,290.15,1,False
C0107,58,252.63,3,False
C0108,13,297.97,4,False
C0109,24,160.37,0,False
C0110,20,95.09,0,True
C0111,50,46.98,4,False
C0112,46,222.1,0,False
C0113,39,216.22,2,False
C0114,38,228.05,1,False
C0115,5,37.62,3,True
C0116,38,275.92,2,False
C0117,41,135.64,3,True
C0118,22,216.9,2,False
C0119,59,254.44,0,False
C0120,44,84.59,0,False
C0121,17,136.61,1,False
C0122,12,38.11,2,True
C0123,24,21.02,2,False
C0124,12,254.77,1,True
C0125,18,95.5,2,True
C0126,58,153.4,2,False
C0127,43,292.11,2,False
C0128,24,204.06,2,False
C0129,54,34.9,1,False
C0130,44,212.15,0,False
C0131,16,271.39,1,False
C0132,40,285.93,0,False
C0133,24,161.4,2,False
C0134,19,72.14,2,False
C0135,47,189.26,4,False
C0136,21,112.16,1,False
C0137,53,226.73,2,False
C0138,21,215.7,1,True
C0139,58,128.12,2,False
C0140,51,146.61,1,False
C0141,47,123.39,1,False
C0142,26,75.31,1,False
C0143,43,111.16,0,False
C0144,27,180.69,0,True
C0145,18,146.57,0,False
C0146,47,116.03,4,False
C0147,16,133.43,0,False
C0148,38,106.39,1,False
C0149,22,97.14,2,True
C0150,31,137.33,4,True
C0151,44,83.18,1,False
C0152,50,162.25,2,True
C0153,33,35.67,1,False
C0154,57,240.24,1,False
C0155,26,238.96,3,False
C0156,6,170.08,2,False
C0157,25,120.82,0,False
C0158,52,103.27,3,False
C0159,37,110.64,0,True
C0160,56,270.74,0,False
C0161,40,264.9,3,False
C0162,18,87.14,4,True
C0163,34,285.94,1,False
C0164,7,88.43,1,True
C0165,59,205.94,2,False
C0166,59,117.75,2,False
C0167,54,232.78,1,False
C0168,39,96.47,3,False
C0169,29,79.36,2,False
C0170,43,85.89,3,False
C0171,19,116.77,1,False
C0172,19,147.13,2,False
C0173,27,21.09,1,False
C0174,4,285.84,1,False
C0175,5,85.4,1,True
C0176,40,273.03,2,False
C0177,30,216.77,0,False
C0178,50,31.58,0,False
C0179,8,148.69,3,True
C0180,11,227.52,1,True
C0181,51,265.19,0,False
C0182,39,77.71,1,False
C0183,24,38.85,2,True
C0184,40,194.05,0,False
C0185,15,257.46,1,False
C0186,23,28.94,1,False
C0187,27,208.61,1,False
C0188,40,223.32,1,False
C0189,16,94.05,2,False
C0190,52,39.43,2,False
C0191,7,124.86,0,False
C0192,8,84.17,1,False
C0193,31,78.24,2,False
C0194,27,29.99,1,False
C0195,27,145.54,1,False
C0196,11,283.8,1,False
C0197,15,291.72,0,False
C0198,33,138.69,1,True
C0199,21,118.81,1,False
C0200,22,236.95,3,False
C0201,19,54.22,2,False
C0202,18,73.45,2,False
C0203,52,247.54,0,False
C0204,30,63.31,0,False
C0205,21,110.81,1,False
C0206,37,207.61,3,False
C0207,21,56.95,0,False
C0208,17,92.6,2,False
C0209,16,145.68,2,False
C0210,52,292.74,3,False
C0211,47,30.05,4,False
C0212,10,235.04,1,True
C0213,38,188.69,1,False
C0214,29,223.6,4,False
C0215,45,205.5,1,False
C0216,20,153.54,3,False
C0217,19,275.82,4,False
C0218,40,185.89,3,True
C0219,11,195.29,0,False
C0220,27,241.25,3,False
C0221,14,263.96,2,False
C0222,28,103.1,0,False
C0223,50,197.85,1,False
C0224,13,72.47,1,True
C0225,5,229.36,2,False
C0226,31,283.69,4,False
C0227,59,172.75,2,False
C0228,28,179.95,1,False
C0229,30,129.52,1,False
C0230,42,210.68,4,False
C0231,39,275.83,1,False
C0232,58,44.37,1,False
C0233,55,189.86,3,False
C0234,30,170.74,1,True
C0235,49,172.04,0,True
C0236,48,99.55,1,False
C0237,29,206.03,2,False
C0238,42,81.11,1,False
C0239,6,165.24,4,True
C0240,54,79.23,1,False
C0241,34,20.74,1,False
C0242,27,268.05,4,False
C0243,26,169.1,2,False
C0244,47,119.23,1,False
C0245,42,269.34,3,False
C0246,4,222.44,3,False
C0247,10,266.29,1,False
C0248,29,142.54,4,True
C0249,25,61.25,4,False
C0250,21,201.39,1,False
C0251,11,179.42,2,False
C0252,58,143.45,2,False
C0253,56,115.21,1,False
C0254,38,78.31,4,False
C0255,27,27.25,1,True
C0256,41,122.77,3,False
C0257,2,196.73,4,True
C0258,59,125.93,4,False
C0259,4,115.68,0,False
C0260,25,263.12,1,False
C0261,40,60.59,2,False
C0262,45,146.97,3,False
C0263,17,145.92,1,False
C0264,44,85.29,1,False
C0265,53,264.6,1,False
C0266,21,249.19,2,False
C0267,30,264.28,0,False
C0268,41,273.93,0,False
C0269,34,187.18,1,True
C0270,37,131.91,1,False
C0271,35,147.62,3,True
C0272,40,171.68,3,True
C0273,48,134.88,1,False
C0274,11,179.26,2,False
C0275,31,226.61,0,False
C0276,23,31.49,2,False
C0277,3,21.52,1,False
C0278,4,167.43,2,False
C0279,50,292.12,0,False
C0280,6,118.15,1,False
C0281,49,275.88,1,False
C0282,6,194.84,0,False
C0283,7,247.52,3,False
C0284,11,128.27,1,False
C0285,37,31.75,1,True
C0286,11,108.75,2,False
C0287,11,43.39,0,False
C0288,11,89.18,0,True
C0289,29,151.1,0,False
C0290,48,193.84,2,True
C0291,22,105.13,0,True
C0292,20,127.39,1,False
C0293,50,71.07,1,False
C0294,14,199.29,3,False
C0295,22,131.83,1,False
C0296,25,264.01,0,False
C0297,58,236.6,2,False
C0298,55,146.27,2,False
C0299,58,96.5,0,False
C0300,45,197.23,2,False
C0301,40,171.15,0,False
C0302,48,280.29,5,False
C0303,40,171.03,1,False
C0304,51,180.73,0,False
C0305,9,64.68,2,True
C0306,58,61.17,1,True
C0307,10,125.92,1,True
C0308,14,176.12,1,True
C0309,17,285.01,2,False
C0310,13,57.71,2,False
C0311,28,127.15,0,True
C0312,10,246.47,1,True
C0313,24,69.65,1,True
C0314,46,233.44,2,True
C0315,13,75.65,2,False
C0316,20,212.24,5,True
C0317,51,67.77,2,False
C0318,43,168.97,3,False
C0319,8,236.73,0,True
C0320,4,198.92,1,False
C0321,21,283.82,1,False
C0322,20,101.02,0,False
C0323,50,155.54,1,False
C0324,33,174.9,1,False
C0325,57,76.6,2,True
C0326,9,213.52,2,False
C0327,41,142.18,3,False
C0328,20,230.44,3,False
C0329,24,76.61,1,False
C0330,31,275.4,0,False
C0331,45,117.12,0,False
C0332,20,203.64,2,False
C0333,56,297.29,0,False
C0334,17,77.27,0,False
C0335,2,250.66,4,True
C0336,49,140.2,1,False
C0337,12,115.07,0,False
C0338,35,253.07,1,False
C0339,23,215.21,2,True
C0340,52,127.91,1,False
C0341,8,217.85,2,True
C0342,34,175.17,2,True
C0343,21,127.62,3,True
C0344,8,144.83,1,False
C0345,49,289.04,1,False
C0346,27,273.03,0,False
C0347,4,70.97,2,True
C0348,46,70.06,2,False
C0349,9,218.99,0,False
C0350,27,149.24,0,False
C0351,3,278.31,1,False
C0352,36,196.05,2,True
C0353,9,103.87,1,True
C0354,47,105.57,5,False
C0355,6,94.27,1,False
C0356,40,127.51,1,True
C0357,39,181.52,2,False
C0358,36,187.3,2,False
C0359,50,95.85,3,True
C0360,52,130.73,1,False
C0361,13,120.12,1,False
C0362,32,236.24,3,True
C0363,53,139.79,1,False
C0364,3,252.79,3,True
C0365,58,123.6,0,False
C0366,14,290.48,2,False
C0367,40,40.82,0,False
C0368,31,251.8,1,False
C0369,33,81.68,1,False
C0370,15,30.79,1,False
C0371,27,21.5,1,False
C0372,52,209.58,3,False
C0373,36,91.67,2,True
C0374,41,89.53,0,False
C0375,14,122.33,1,False
C0376,41,197.47,0,False
C0377,29,226.1,2,True
C0378,43,86.41,0,False
C0379,53,166.77,1,True
C0380,48,132.37,1,False
C0381,47,127.6,1,False
C0382,38,121.96,0,True
C0383,6,125.5,1,False
C0384,10,250.68,1,False
C0385,19,113.57,0,False
C0386,4,76.19,1,False
C0387,4,95.05,3,False
C0388,12,227.66,1,True
C0389,12,147.83,1,False
C0390,30,225.59,3,False
C0391,37,81.94,0,False
C0392,22,229.0,3,False
C0393,45,99.03,4,False
C0394,8,30.26,0,False
C0395,47,28.37,1,False
C0396,1,171.45,0,False
C0397,7,20.19,0,False
C0398,46,127.03,5,True
C0399,45,62.18,0,False
C0400,48,192.48,2,False
C0401,26,143.19,1,True
C0402,30,175.27,0,False
C0403,54,160.17,0,False
C0404,33,290.45,0,False
C0405,56,288.27,2,False
C0406,44,183.24,1,False
C0407,40,280.69,2,False
C0408,56,246.53,2,False
C0409,13,54.08,2,False
C0410,16,237.3,2,False
C0411,3,137.53,2,False
C0412,21,208.36,4,True
C0413,21,229.61,1,False
C0414,30,104.57,0,False
C0415,40,273.38,0,False
C0416,30,256.81,1,False
C0417,59,170.23,3,False
C0418,44,165.57,2,False
C0419,24,74.73,0,False
C0420,35,39.86,4,True
C0421,2,26.33,1,False
C0422,46,196.78,3,False
C0423,15,148.61,0,True
C0424,27,21.47,5,True
C0425,58,49.49,0,True
C0426,26,163.44,0,False
C0427,44,141.56,3,True
C0428,20,210.24,1,True
C0429,40,157.98,4,False
C0430,28,256.27,2,False
C0431,43,125.8,3,False
C0432,39,197.21,0,False
C0433,29,286.44,3,False
C0434,57,112.39,2,False
C0435,8,146.42,2,False
C0436,35,36.54,1,False
C0437,51,188.0,5,False
C0438,36,279.03,1,False
C0439,50,48.0,2,False
C0440,5,189.17,0,False
C0441,11,278.34,1,False
C0442,57,172.74,3,False
C0443,9,77.29,2,False
C0444,32,133.95,0,False
C0445,33,275.48,1,False
C0446,6,210.25,3,True
C0447,35,160.41,1,False
C0448,13,199.55,2,False
C0449,57,82.52,1,True
C0450,59,86.58,1,False
C0451,38,46.28,1,False
C0452,45,145.78,1,False
C0453,46,145.41,2,False
C0454,16,92.11,1,False
C0455,4,34.66,1,False
C0456,30,263.97,2,False
C0457,28,60.38,0,False
C0458,48,111.48,1,False
C0459,4,20.35,3,False
C0460,25,217.45,1,True
C0461,7,248.3,0,True
C0462,51,135.78,2,True
C0463,24,129.95,6,True
C0464,31,248.67,0,False
C0465,24,44.97,1,False
C0466,28,47.82,2,False
C0467,21,155.88,1,False
C0468,6,61.84,1,False
C0469,33,215.75,2,True
C0470,6,70.19,1,False
C0471,46,227.66,0,False
C0472,6,35.82,3,True
C0473,49,109.58,3,False
C0474,28,209.75,0,False
C0475,40,108.15,1,False
C0476,22,157.6,1,True
C0477,44,115.96,0,False
C0478,21,239.73,1,True
C0479,6,257.58,0,True
C0480,28,54.82,4,True
C0481,51,74.44,1,False
C0482,58,167.23,2,False
C0483,34,117.27,0,False
C0484,33,272.94,2,False
C0485,55,49.72,4,False
C0486,25,296.52,1,False
C0487,20,146.0,2,False
C0488,54,198.52,1,False
C0489,19,259.85,1,False
C0490,30,35.56,2,False
C0491,19,118.62,0,False
C0492,56,159.6,1,False
C0493,55,61.71,2,False
C0494,4,43.3,1,False
C0495,25,190.84,1,False
C0496,2,129.06,2,False
C0497,51,221.55,0,False
C0498,22,147.47,2,False
C0499,42,110.53,0,True
