week,region,revenue,profit_margin
2024-06-03,South,4590.12,0.2696
2024-06-03,East,4536.0,0.2495
2024-06-03,West,3899.7,0.1654
2024-06-10,North,4561.37,0.1724
2024-06-10,South,4089.92,0.1787
2024-06-10,East,4471.0,0.1628
2024-06-10,West,3747.35,0.2783
2024-06-17,North,4854.29,0.2164
2024-06-17,South,4422.02,0.2738
2024-06-17,East,4255.72,0.2808
2024-06-17,West,3438.19,0.1641
2024-06-24,North,4997.22,0.2411
2024-06-24,South,4432.27,0.2451
2024-06-24,East,4371.54,0.202
2024-06-24,West,4035.39,0.1985
2024-07-01,North,4702.72,0.152
2024-07-01,South,4896.77,0.2407
2024-07-01,East,4193.64,0.2245
2024-07-01,West,4032.58,0.3062
2024-07-08,North,4516.63,0.2343
2024-07-08,South,4203.79,0.2349
2024-07-08,East,4137.57,0.2264
2024-07-08,West,3574.82,0.2721
2024-07-15,North,4617.74,0.3
2024-07-15,South,4791.89,0.195
2024-07-15,East,4347.34,0.1791
2024-07-15,West,3540.42,0.1773
2024-07-22,North,5086.79,0.3117
2024-07-22,South,4246.14,0.2693
2024-07-22,East,4219.48,0.2862
2024-07-22,West,3689.16,0.1561
2024-07-29,North,5254.31,0.167
2024-07-29,South,4678.02,0.2789
2024-07-29,East,4120.18,0.2576
2024-07-29,West,3883.43,0.2254
2024-08-05,North,4603.09,0.241
2024-08-05,South,4901.43,0.2404
2024-08-05,East,3993.49,0.3001
2024-08-05,West,3771.85,0.1847
2024-08-12,North,4715.79,0.2878
2024-08-12,South,4697.79,0.1625
2024-08-12,East,4415.04,0.2575
2024-08-12,West,4112.5,0.1663
2024-08-19,North,5023.44,0.2779
2024-08-19,South,4651.27,0.1737
2024-08-19,East,4333.25,0.1831
2024-08-19,West,4010.19,0.2752
2024-08-26,North,5222.53,0.2813
2024-08-26,South,4702.63,0.2951
2024-08-26,East,4372.4,0.2413
2024-08-26,West,4100.36,0.2449
2024-09-02,North,4941.7,0.3049
2024-09-02,South,4623.9,0.2429
2024-09-02,East,3918.07,0.3113
2024-09-02,West,3751.21,0.2331
2024-09-09,North,4722.26,0.2458
2024-09-09,South,5088.96,0.1666
2024-09-09,East,4060.99,0.307
2024-09-09,West,3889.01,0.3032
2024-09-16,North,5367.83,0.2767
2024-09-16,South,4633.98,0.1948
2024-09-16,East,4119.67,0.2861
2024-09-16,West,3797.88,0.2579
2024-09-23,North,4853.7,0.2275
2024-09-23,South,4466.92,0.2949
2024-09-23,East,4101.06,0.3041
2024-09-23,West,3772.55,0.2615
2024-09-30,North,5094.45,0.1674
2024-09-30,South,4773.61,0.2711
2024-09-30,East,4137.78,0.1692
2024-09-30,West,4049.84,0.2347
2024-10-07,North,5045.49,0.2493
2024-10-07,South,4343.76,0.2444
2024-10-07,East,4449.24,0.2271
2024-10-07,West,4212.36,0.2493
2024-10-14,North,4781.21,0.1839
2024-10-14,South,4463.61,0.2038
2024-10-14,East,4255.19,0.2141
2024-10-14,West,3912.28,0.2121
2024-10-21,North,4801.84,0.1867
2024-10-21,South,4288.2,0.2555
2024-10-21,East,4129.27,0.2105
2024-10-21,West,4021.66,0.3093
2024-10-28,North,4793.02,0.1826
2024-10-28,South,4365.31,0.2222
2024-10-28,East,3679.92,0.1925
2024-10-28,West,3738.54,0.2239
2024-11-04,North,5278.69,0.2638
2024-11-04,South,4653.37,0.2651
2024-11-04,East,4202.97,0.2233
2024-11-04,West,3764.8,0.18
2024-11-11,North,5044.65,0.1841
2024-11-11,South,4740.95,0.3156
2024-11-11,East,4279.87,0.2925
2024-11-11,West,3942.36,0.2613
2024-11-18,North,4867.83,0.313
2024-11-18,South,4510.98,0.2767
2024-11-18,East,4832.64,0.2511
2024-11-18,West,3701.09,0.1737
2024-11-25,North,5244.13,0.1621
2024-11-25,South,4719.54,0.2761
2024-11-25,East,4507.19,0.3111
2024-11-25,West,3946.62,0.2878
2024-12-02,North,4890.1,0.2142
2024-12-02,South,4548.03,0.2714
2024-12-02,East,4243.98,0.2209
2024-12-02,West,4167.31,0.2647
2024-12-09,North,5122.73,0.2538
2024-12-09,South,4438.3,0.2164
2024-12-09,East,4226.16,0.2442
2024-12-09,West,3619.81,0.2739
2024-12-16,North,4808.47,0.3032
2024-12-16,South,4511.29,0.1515
2024-12-16,East,4354.12,0.2947
2024-12-16,West,3760.33,0.1745
2024-12-23,North,5136.18,0.2801
2024-12-23,South,4828.72,0.2016
2024-12-23,East,4368.64,0.2041
2024-12-23,West,4226.35,0.1961
2024-12-30,North,4731.81,0.1855
2024-12-30,South,4409.69,0.2172
2024-12-30,East,3718.71,0.2938
2024-12-30,West,4108.03,0.2081
